address,latitude,longitude
"부산광역시 사상구 장인로 19, 1층(감전동) ",0,0
부산광역시 사상구 가야대로12번길 49 ,0,0
부산시 사상구 학감대로 277 (감전동),0,0
부산광역시 사하구 옥천로 16 ,0,0
부산광역시 사하구 감천로105번길 57 감천자 유아파트,0,0
부산시 강서구 녹산산단 321로 24-4 ,0,0
부산광역시 강서구 낙동북로 74(강동동) ,0,0
부산광역시 강서구 미음산단로8번길 6 ,0,0
부산광역시 강서구 명지동 3211-7,0,0
부산광역시 강서구 가락대로961번길 94 (범방동),0,0
부산광역시 강서구 생곡산단1로5번길 3 ,0,0
부산시 강서구 화전산단4로 6번길 6,0,0
부산광역시 부산진구 가야대로498번가길 14 외 1필지 개금역대상웰리움 제1층 101호,0,0
"부산광역시 부산진구 엄광로 36-7 B102호(개금동, 더블루)",0,0
부산광역시 부산진구 개금온정로 5 208호 ,0,0
부산광역시 부산진구 복지로8번길 5 ,0,0
부산광역시 부산진구 백양관문로 25-9 ,0,0
부산시 부산진구 백양관문로 10 (당감동),0,0
부산광역시 연제구 월드컵대로187번길 41 거제동,0,0
부산시 연제구 거제천로 87번길 22 (거제동),0,0
부산광역시 연제구 월드컵대로 221-9 1층,0,0
부산광역시 사상구 주례로 31-1 (주례동) ,0,0
부산광역시 동래구 수안로호 8번길 38 204동 112,0,0
"부산광역시 연제구 과정로287번길 51, 2층 102호",0,0
부산광역시 남구 용소로7번길 21 1층(대연동),0,0
부산광역시 남구 수영로 311 1층(대연동),0,0
부산광역시 중구 구덕로 50 ,0,0
"부산광역시 중구 중앙대로 2, 엔터동 4층 (중앙동7가, 롯데백화점광복점)",0,0
부산광역시 수영구 민락수변로 9-1(민락동),0,0
부산광역시 수영구 수영로594번길 90 1층 ,0,0
부산광역시 수영구 광안로49번길 67 (광안동),0,0
"부산광역시 수영구 장대골로7번길 20 제지하1층 제비 101호, 제102호 전체",0,0
부산광역시 수영구 광안해변로 175 ,0,0
부산광역시 수영구 무학로10번길 35,0,0
부산광역시 수영구 광안로61번길 60 ,0,0
"부산광역시 수영구 광안해변로 165 106호(광안동, 광안지웰 에스테이트)",0,0
"부산광역시 수영구 광안로21번길 23, 1층 (광안동)",0,0
부산광역시 수영구 수영로 553-11 ,0,0
부산광역시 동래구 충렬대로 96 광혜병원 ,0,0
부산광역시 사하구 사리로 48 (괴정동),0,0
부산광역시 사하구 낙동대로 137 상가 104호 ,0,0
부산광역시 사하구 사하로141번길 69-1 화이 트빌라,0,0
부산시 연제구 교대로 6 (거제동),0,0
"부산광역시 연제구 여고로 84-1, 1층(거제동) ",0,0
부산시 북구 구남로 9 (구포동),0,0
부산광역시 북구 낙동북로681번길 46 정원아 트빌라,0,0
부산광역시 금정구 금정로 208 1층 ,0,0
부산광역시 금정구 안뜰로 10 1층 전체(구서동),0,0
부산광역시 금정구 구서로 23 1층(구서동),0,0
부산광역시 사하구 감천항로 172 ,0,0
"부산광역시 사하구 감천항로 195, 2층",0,0
"부산광역시 북구 낙동북로663번길 61 , 1층 (구포동)",0,0
부산광역시 북구 모분재로 50 ,0,0
부산광역시 북구 백양대로1124번길 82 1층 1호,0,0
부산광역시 북구 백양대로1016번길 22 지하1층 1호,0,0
부산광역시 북구 사랑로94번길 10 ,0,0
부산광역시 북구 모분재로23번길 76 가동 101호,0,0
부산광역시 북구 시랑로62번길 17 화목맨션 1층 2호,0,0
부산시 연제구 중앙대로 1217 (거제동),0,0
"부산광역시 동구 충장대로 206 제4부두 (초량동, 부산항 국제여객터미널 2층 편의점)",0,0
"부산광역시 동구 충장대로 206 제4부두 (초량동, 부산항 국제여객터미널 3층 편의점)",0,0
부산광역시 북구 덕천로276번길 32-4 (만덕동),0,0
부산광역시 동래구 금강로131번길 1 ,0,0
부산광역시 금정구 금사동 개좌로 141-9,0,0
부산광역시 금정구 체육공원로 702 ,0,0
부산광역시 금정구 구서중앙로15번길 20 (구서동),0,0
부산광역시 금정구 부곡로 154 ,0,0
부산광역시 기장군 장안읍 고무로 328,0,0
부산광역시 기장군 기장읍 차성로 359,0,0
부산광역시 기장군 기장대로 470 1층 상가 104호(씨앤스타빌),0,0
부산광역시 기장군 차성서로 22 대청빌라 1층,0,0
부산광역시 기장군 기장읍 동부산관광8로 11 ,0,0
부산광역시 기장군 차성로390번길 15 1층,0,0
부산광역시 기장군 기장읍 차성남로 69 ,0,0
부산광역시 기장군 기장읍 연화1길 143-2,0,0
"부산광역시 기장군 기장읍 차성동로142번길 14, 1층(골든그린빌)",0,0
부산광역시 기장군 기장읍 차성동로 168-24 ,0,0
부산광역시 기장군 차성남로 5 1층,0,0
부산광역시 기장군 기장읍 대청로 19 1층,0,0
부산광역시 기장군 일광면 학리등대로 86-1 ,0,0
부산광역시 해운대구 센텀동로 26 에이-103 에이2호,0,0
부산광역시 사하구 낙동남로1367번길 23 1층 102호,0,0
부산시 동래구 충렬대로 312 (낙민동),0,0
부산시 동래구 안남로 31번길 6 (낙민동),0,0
부산광역시 금정구 금강로693번길 42 ,0,0
부산광역시 금정구 범어천로31번길 16 1층(남산동),0,0
"부산광역시 금정구 금강로740번길 10 , 1층 103호",0,0
"부산광역시 금정구 중앙대로2035번길 7, 상가동 101호",0,0
부산광역시 금정구 팔송로7번길 19 ,0,0
부산광역시 수영구 광안해변로15번길 54 뉴비 치아파트,0,0
부산광역시 수영구 수영로408번길19 (남천동) ,0,0
부산광역시 영도구 절영로94번길 2(남항동3가),0,0
부산광역시 사하구 다대낙조1길 12 상가동 104호,0,0
부산광역시 해운대구 달맞이길117번나길 155 101호,0,0
부산광역시 부산진구 가야대로691번길 4 ,0,0
부산시 부산진구 당감로 18-1 (당감동),0,0
"부산광역시 부산진구 백양관문로 101 1층 비호,시호(당감동,국제프라자)",0,0
부산광역시 금정구 부곡로142번길 49 문구프 라자,0,0
"부산광역시 사상구 광장로86번길 41,1층 101호 (괘법동, 대박힐링오피스텔)",0,0
"부산광역시 금정구 금강로321번길 80, 1층",0,0
부산광역시 서구 대영로 44 (서대신동1가),0,0
부산광역시 서구 구덕로322번길 9 ,0,0
"부산광역시 금정구 부산대학로 10(부곡동, 대우아파트 상가2동)",0,0
부산광역시 남구 수영로 256-1(대연동) ,0,0
부산광역시 남구 유엔평화로47번길 142 동백 원룸,0,0
"부산광역시 남구 못골로41번길 20 (대연동, 광이골드타워) 1층 101호",0,0
부산광역시 남구 수영로 135 상가B동 104호,0,0
부산광역시 남구 못골번영로50번길 20 ,0,0
"부산광역시 남구 유엔평화로41번가길 42, 1층",0,0
부산광역시 남구 수영로266번길 99 ,0,0
부산광역시 남구 수영로 358번길 28(대연동),0,0
부산광역시 남구 못골로 95-1 1층 ,0,0
부산광역시 남구 수영로220번길 21 (대연동),0,0
부산광역시 남구 진남로 36(대연동) ,0,0
부산광역시 남구 유엔평화로 8 ,0,0
"부산광역시 남구 수영로325번길 12, 501동 101호(대연동, 부산대연동푸르지오)",0,0
부산광역시 강서구 공항로 1373(대저1동) ,0,0
부산광역시 강서구 대저중앙로 46 ,0,0
부산광역시 강서구 대저중앙로 344 ,0,0
부산광역시 강서구 평강로 316 ,0,0
부산광역시 중구 중앙대로 129 (대창동1가),0,0
부산 중구 대청로 90-1(대청동2가),0,0
부산시 북구 의성로 83 (덕천동),0,0
부산시 북구 만덕대로 23 (덕천동),0,0
부산광역시 북구 백양대로 1176 1층(세븐일레븐 부분),0,0
부산광역시 북구 만덕대로40번길 45 ,0,0
