address,latitude,longitude
부산광역시 강서구 녹산산단335로 7 109호 | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 중구 충장대로 24  | 영업시간 : 16:00 ~ 00:00,0,0
부산광역시 부산진구 당감서로80번길 9  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 부산진구 동평로 106  | 영업시간 : 06:00 ~ 01:00,0,0
부산광역시 남구 수영로219번길 8 1층 | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 남구 유엔평화로22번길 28  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 남구 유엔로201번길 22  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 남구 수영로 261  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 북구 덕천로40번길 2 (덕천동)  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 북구 의성로115번길 92  | 영업시간 : 06:00 ~ 01:00,0,0
부산광역시 북구 금곡대로8번길 87  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 북구 만덕대로40번길 9 (덕천동)  | 영업시간 : 06:00 ~ 00:00,0,0
"부산광역시 북구 만덕대로 지하 39 E1,2호 | 영업시간 : 07:00 ~ 23:00",0,0
부산광역시 사상구 사상로310번길 61  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 서구 대영로 86  | 영업시간 : 06:00 ~ 01:00,0,0
부산광역시 동래구 충렬대로 306  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 동래구 사직북로28번길 189(온천동) 1층 | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 동래구 사직북로19번길 15  | 영업시간 : 06:00 ~ 01:00,0,0
부산광역시 동래구 안락로 70  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 동래구 여고로 50-1  | 영업시간 : 06:00 ~ 01:00,0,0
부산광역시 동래구 금강로106번길 12  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 사하구 신산북로 91  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 해운대구 운봉길 57  | 영업시간 : 07:00 ~ 00:00,0,0
부산광역시 서구 임시수도기념로 22-9  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 북구 만덕1로 53  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 중구 대청로 105  | 영업시간 : 08:00 ~ 21:00,0,0
"부산광역시 남구 분포로 113(용호동, 엘지메트로시티) 1004동 105호 | 영업시간 : 06:00 ~ 00:00",0,0
부산광역시 동래구 동래로57번길 36  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 동래구 명륜로139번길 22  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 동래구 명장로 65 상가 101호 | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 강서구 명지국제6로232번길 15  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 강서구 명지국제5로136번길 14  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 강서구 명지국제5로 110 314동 상가116호 | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 강서구 신호산단3로 27 (신호동) 아파트상가 | 영업시간 : 06:00 ~ 02:00,0,0
부산광역시 강서구 명지국제2로 29 상가 110호 | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 강서구 명지국제2로28번길 34 상가 101호 | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 강서구 명지오션시티4로 75  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 강서구 명지국제7로 111 상가동 105호 | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 강서구 명지새동네길2번길 35  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 강서구 명지오션시티8로12번길 16 (명지동)  | 영업시간 : 08:00 ~ 01:00,0,0
부산광역시 강서구 명지국제5로 141  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 남구 수영로 88  | 영업시간 : 06:00 ~ 01:00,0,0
부산광역시 동래구 미남로146번길 16(온천동) 1층 | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 동래구 우장춘로 7 보민빌딩 101호 | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 강서구 미음산단로19  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 강서구 미음국제3로 54  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 수영구 민락수변로 95  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 해운대구 신반송로 170  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 해운대구 아랫반송로60번길 48 (반송동)  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 해운대구 명장로67번길 131  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 해운대구 반여로155번길 38  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 해운대구 재반로242번길 12 (반여동)  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 해운대구 삼어로 103  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 금정구 중앙대로 2102 (남산동 참가지미횟집)  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 동구 조방로26번길 11 동양오피스텔 102호 | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 동구 범일로 85 1층 | 영업시간 : 08:00 ~ 23:00,0,0
"부산광역시 부산진구 신암로 66 상가 101, 102호 | 영업시간 : 00:00 ~ 00:00",0,0
부산광역시 중구 흑교로 67-2  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 남구 용소로 45  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 남구 용소로 45 부경대학교 공학관 | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 남구 대연동 용소로21번길 56  | 영업시간 : 08:00 ~ 02:00,0,0
부산광역시 금정구 부곡로 32-12  | 영업시간 : 06:00 ~ 01:00,0,0
부산광역시 금정구 동부곡로5번길 148-3 지하동 1층 101호 | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 금정구 금강로279번길 46  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 사하구 감천로43번길 27  | 영업시간 : 07:00 ~ 00:00,0,0
부산광역시 강서구 공항로1309번길 103  | 영업시간 : 06:00 ~ 01:00,0,0
부산광역시 강서구 낙동남로604번길 2-12  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 강서구 범방1로 10  | 영업시간 : 07:00 ~ 22:00,0,0
부산광역시 부산진구 가야대로454  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 수영구 무학로22번길 35  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 사하구 사하로197번길 15 삼부로얄상가 | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 연제구 중앙대로1235번길 13  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 사하구 을숙도대로 741(구평동)  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 사하구 을숙도대로709번길 22  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 북구 효열로235번길 31  | 영업시간 : 07:00 ~ 00:00,0,0
부산광역시 금정구 반송로 476-2(금사동)  | 영업시간 : 06:00 ~ 00:00,0,0
