address,latitude,longitude,cvs
부산광역시 해운대구 아랫반송로60번길 48 ,0,0,emart24
부산광역시 해운대구 명장로67번길 131  ,0,0,emart24
부산광역시 해운대구 반여로155번길 38  ,0,0,emart24
부산광역시 해운대구 재반로242번길 12 ,0,0,emart24
부산광역시 해운대구 삼어로 103  ,0,0,emart24
부산광역시 금정구 중앙대로 2102 ,0,0,emart24
부산광역시 동구 조방로26번길 11 동양오피스텔 102호 ,0,0,emart24
부산광역시 동구 범일로 85 1층 ,0,0,emart24
"부산광역시 부산진구 신암로 66 상가 101, 102호 ",0,0,emart24
부산광역시 중구 흑교로 67-2  ,0,0,emart24
부산광역시 남구 용소로 45  ,0,0,emart24
부산광역시 남구 용소로 45 부경대학교 공학관 ,0,0,emart24
부산광역시 남구 대연동 용소로21번길 56  ,0,0,emart24
부산광역시 금정구 부곡로 32-12  ,0,0,emart24
부산광역시 금정구 동부곡로5번길 148-3 지하동 1층 101호 ,0,0,emart24
부산광역시 금정구 금강로279번길 46  ,0,0,emart24
부산광역시 사하구 감천로43번길 27  ,0,0,emart24
부산광역시 강서구 공항로1309번길 103  ,0,0,emart24
부산광역시 강서구 낙동남로604번길 2-12  ,0,0,emart24
부산광역시 강서구 범방1로 10  ,0,0,emart24
부산광역시 부산진구 가야대로454  ,0,0,emart24
부산광역시 수영구 무학로22번길 35  ,0,0,emart24
부산광역시 사하구 사하로197번길 15 삼부로얄상가 ,0,0,emart24
부산광역시 연제구 중앙대로1235번길 13  ,0,0,emart24
부산광역시 사하구 을숙도대로 741,0,0,emart24
부산광역시 사하구 을숙도대로709번길 22  ,0,0,emart24
부산광역시 북구 효열로235번길 31  ,0,0,emart24
부산광역시 금정구 반송로 476-2,0,0,emart24
부산광역시 금정구 금샘로 16,0,0,emart24
부산광역시 서구 해돋이로 32  ,0,0,emart24
부산광역시 수영구 광남로 48-1  ,0,0,emart24
부산광역시 중구 구덕로 72  ,0,0,emart24
부산광역시 금정구 중앙대로 2235  ,0,0,emart24
부산광역시 사하구 다대동로 45  ,0,0,emart24
부산광역시 사하구 다대로 613  ,0,0,emart24
부산광역시 금정구 금강로335번길 106  ,0,0,emart24
부산광역시 남구 유엔로201번길 78  ,0,0,emart24
부산광역시 강서구 공항앞길163번길 111  ,0,0,emart24
부산광역시 금정구 금정로60번길 15  ,0,0,emart24
부산광역시 금정구 금강로321번길 45  ,0,0,emart24
부산광역시 금정구 금강로 248-4  ,0,0,emart24
부산광역시 금정구 금강로 271-4  ,0,0,emart24
부산광역시 사상구 냉정로 117  ,0,0,emart24
부산광역시 사하구 낙동대로536번길 18  ,0,0,emart24
부산광역시 사상구 모덕로 86,0,0,emart24
부산광역시 사상구 백양대로 420 본관1층 ,0,0,emart24
부산광역시 금정구 동현로 28  ,0,0,emart24
부산광역시 부산진구 시민공원로19번길 36  ,0,0,emart24
부산광역시 중구 흑교로 29  ,0,0,emart24
부산광역시 기장군 장안읍 정관로 1133 4층 430호 ,0,0,emart24
부산광역시 사하구 승학로 190  ,0,0,emart24
부산광역시 부산진구 월드컵대로449번길 55  ,0,0,emart24
부산광역시 연제구 연제로42번길 28-20  ,0,0,emart24
부산광역시 사상구 백양대로700번길 16  ,0,0,emart24
부산광역시 남구 신선로 219 1층 ,0,0,emart24
부산광역시 사하구 하신번영로151번길 30  ,0,0,emart24
부산광역시 사하구 장평로 339  ,0,0,emart24
부산광역시 강서구 신항남로 507  ,0,0,emart24
부산광역시 강서구 신호산단5로 72  ,0,0,emart24
부산광역시 사상구 엄궁로 186  ,0,0,emart24
부산광역시 동구 중앙대로196번길 12-7  ,0,0,emart24
부산광역시 금정구 두실로 43 ,0,0,emart24
부산광역시 기장군 일광면 삼성길 9-3 101호 ,0,0,emart24
부산광역시 사하구 장림로 219  ,0,0,emart24
부산광역시 사하구 장림번영로 38-1  ,0,0,emart24
부산광역시 해운대구 세실로 126 상가동 103호 ,0,0,emart24
부산광역시 중구 중앙대로41번길 14-1  ,0,0,emart24
부산광역시 부산진구 신천대로220번길 77-10  ,0,0,emart24
부산광역시 동구 고관로 46,0,0,emart24
부산광역시 서구 초장로 8  ,0,0,emart24
부산광역시 중구 대영로 224  ,0,0,emart24
부산광역시 서구 까치고개로 229  ,0,0,emart24
부산광역시 강서구 화전산단2로 136  ,0,0,emart24
부산광역시 동구 자성공원로 23  ,0,0,emart24
부산광역시 북구 상리로 49  ,0,0,emart24
부산광역시 북구 백양대로995번길 11  ,0,0,emart24
부산광역시 사상구 삼덕로45번길 84  ,0,0,emart24
부산광역시 사상구 학감대로 257  ,0,0,emart24
부산광역시 사상구 광장로38번길 17  ,0,0,emart24
부산광역시 사상구 사상로202번길 24  ,0,0,emart24
부산광역시 사상구 사상로243번길 13  ,0,0,emart24
부산광역시 사상구 사상로489번길 41,0,0,emart24
부산광역시 사상구 대동로 25  ,0,0,emart24
부산광역시 사상구 광장로104번길 19  ,0,0,emart24
부산광역시 동래구 아시아드대로 149-1,0,0,emart24
부산광역시 사하구 낙동대로302번길 33  ,0,0,emart24
부산광역시 사하구 괴정로 116 ,0,0,emart24
부산광역시 사하구 다대로 263 상가104호 ,0,0,emart24
부산광역시 사하구 장림번영로 96  ,0,0,emart24
부산광역시 사하구 대티로 45  ,0,0,emart24
부산광역시 서구 대영로45번길 68  ,0,0,emart24
부산광역시 부산진구 백양대로18번길 54  ,0,0,emart24
부산광역시 부산진구 전포대로275번길 19  ,0,0,emart24
부산광역시 부산진구 서면로68번길35  ,0,0,emart24
부산광역시 부산진구 중앙대로 672  ,0,0,emart24
부산광역시 부산진구 동천로 109 106동 ,0,0,emart24
부산광역시 부산진구 새싹로 35  ,0,0,emart24
부산광역시 부산진구 동천로53  ,0,0,emart24
부산광역시 부산진구 가야대로 702  ,0,0,emart24
부산광역시 해운대구 반송로525번길 25,0,0,emart24
부산광역시 해운대구 삼어로 131  ,0,0,emart24
부산광역시 해운대구 해운대로61번길 64  ,0,0,emart24
부산광역시 수영구 광안해변로 420 상가동 2층 209-210호 ,0,0,emart24
부산광역시 해운대구 센텀중앙로 79 1층 104호 ,0,0,emart24
부산광역시 해운대구 센텀1로 17 1층 103호 ,0,0,emart24
부산광역시 서구 송도해변로 21  ,0,0,emart24
부산광역시 서구 암남공원로 181,0,0,emart24
부산광역시 서구 송도해변로 171,0,0,emart24
부산광역시 서구 충무대로 56  ,0,0,emart24
부산광역시 해운대구 송정강변로 9  ,0,0,emart24
부산광역시 해운대구 송정중앙로36번길 70  ,0,0,emart24
부산광역시 해운대구 송정해변로 16-1  ,0,0,emart24
"부산광역시 해운대구 해운대로 1188 103호,104호 ",0,0,emart24
부산광역시 동래구 온천천로337번길 47,0,0,emart24
부산광역시 수영구 광일로29번길 19 ,0,0,emart24
부산광역시 수영구 광안해변로307번길 15  ,0,0,emart24
부산광역시 수영구 연수로315번길 24  ,0,0,emart24
부산광역시 수영구 망미번영로70번길 38 1층 ,0,0,emart24
부산광역시 수영구 수영로521번길 51  ,0,0,emart24
부산광역시 수영구 망미번영로24번길 64  ,0,0,emart24
부산광역시 수영구 무학로9번길 61  ,0,0,emart24
부산광역시 수영구 망미번영로88번길 67  ,0,0,emart24
부산광역시 수영구 좌수영로 190  ,0,0,emart24
부산광역시 동구 고관로 90  ,0,0,emart24
부산광역시 강서구 명지국제6로 168  ,0,0,emart24
부산광역시 부산진구 백양대로320번길 4  ,0,0,emart24
부산광역시 사상구 백양대로 905  ,0,0,emart24
부산광역시 해운대구 센텀남대로 35 지하2층 ,0,0,emart24
부산광역시 사하구 비봉로 38,0,0,emart24
부산광역시 강서구 신호산단5로 47-3  ,0,0,emart24
부산광역시 동래구 반송로218번길 10 101호 ,0,0,emart24
부산광역시 부산진구 중앙대로928번길 11 1층 ,0,0,emart24
부산광역시 부산진구 양지로 18,0,0,emart24
부산광역시 부산진구 연수로 66  ,0,0,emart24
부산광역시 부산진구 중앙대로970번가길 14  ,0,0,emart24
부산광역시 연제구 과정로265번길 4  ,0,0,emart24
부산광역시 연제구 진남로 615,0,0,emart24
부산광역시 연제구 배산로 13,0,0,emart24
부산광역시 연제구 중앙대로 1164  ,0,0,emart24
부산광역시 연제구 월드컵대로111번길 40 1층 ,0,0,emart24
부산광역시 연제구 월드컵대로92번길 1,0,0,emart24
부산광역시 연제구 중앙천로 64 1층 ,0,0,emart24
부산광역시 연제구 과정로 141,0,0,emart24
부산광역시 연제구 과정로208번길 9  ,0,0,emart24
